time,open,high,low,close,tick_volume,spread,real_volume
2025-04-02 21:00:00+00:00,71.96,72.04,71.73,71.88,1212,2,0
2025-04-02 22:00:00+00:00,71.88,72.0,71.85,71.96,498,2,0
2025-04-02 23:00:00+00:00,71.96,72.37,70.79,70.86,3401,2,0
2025-04-03 01:00:00+00:00,70.3,70.49,69.63,69.9,1762,3,0
2025-04-03 02:00:00+00:00,69.9,69.93,69.36,69.45,951,3,0
2025-04-03 03:00:00+00:00,69.44,69.9,69.38,69.87,2536,3,0
2025-04-03 04:00:00+00:00,69.85,70.15,69.56,69.86,2498,4,0
2025-04-03 05:00:00+00:00,69.86,70.12,69.77,70.06,1168,4,0
2025-04-03 06:00:00+00:00,70.07,70.24,69.99,70.17,1044,3,0
2025-04-03 07:00:00+00:00,70.17,70.17,70.03,70.12,596,3,0
2025-04-03 08:00:00+00:00,70.12,70.13,69.85,69.85,852,4,0
2025-04-03 09:00:00+00:00,69.86,69.95,69.59,69.59,1377,3,0
2025-04-03 10:00:00+00:00,69.59,69.64,69.09,69.56,2407,4,0
2025-04-03 11:00:00+00:00,69.56,69.69,69.12,69.13,2052,4,0
2025-04-03 12:00:00+00:00,69.14,69.25,68.64,68.66,1927,4,0
2025-04-03 13:00:00+00:00,68.66,68.75,68.31,68.41,1977,3,0
2025-04-03 14:00:00+00:00,68.42,68.46,67.28,67.58,2994,3,0
2025-04-03 15:00:00+00:00,67.58,67.61,66.57,67.06,3890,3,0
2025-04-03 16:00:00+00:00,67.05,67.25,66.48,66.64,4948,3,0
2025-04-03 17:00:00+00:00,66.65,66.99,66.18,66.18,3769,3,0
2025-04-03 18:00:00+00:00,66.19,66.8,66.08,66.68,3383,3,0
2025-04-03 19:00:00+00:00,66.68,66.96,66.62,66.89,2198,3,0
2025-04-03 20:00:00+00:00,66.89,67.26,66.58,67.12,1653,3,0
2025-04-03 21:00:00+00:00,67.11,67.14,66.81,66.99,1725,3,0
2025-04-03 22:00:00+00:00,66.99,66.99,66.79,66.84,674,4,0
2025-04-03 23:00:00+00:00,66.84,66.85,66.63,66.71,417,4,0
2025-04-04 01:00:00+00:00,66.62,66.86,66.62,66.68,289,2,0
2025-04-04 02:00:00+00:00,66.68,66.88,66.66,66.84,255,3,0
2025-04-04 03:00:00+00:00,66.84,66.99,66.73,66.75,708,2,0
2025-04-04 04:00:00+00:00,66.75,66.81,66.58,66.7,771,2,0
2025-04-04 05:00:00+00:00,66.7,66.78,66.57,66.61,553,2,0
2025-04-04 06:00:00+00:00,66.61,66.63,66.37,66.48,708,2,0
2025-04-04 07:00:00+00:00,66.48,66.51,66.16,66.21,664,3,0
2025-04-04 08:00:00+00:00,66.21,66.5,66.18,66.42,784,2,0
2025-04-04 09:00:00+00:00,66.42,66.53,65.95,65.97,896,2,0
2025-04-04 10:00:00+00:00,65.97,66.0,65.39,65.41,1801,3,0
2025-04-04 11:00:00+00:00,65.41,65.49,64.43,64.45,2781,2,0
2025-04-04 12:00:00+00:00,64.45,64.89,64.33,64.66,3011,2,0
2025-04-04 13:00:00+00:00,64.66,65.0,62.18,62.69,9047,2,0
2025-04-04 14:00:00+00:00,62.68,62.79,60.9,61.82,10089,2,0
2025-04-04 15:00:00+00:00,61.82,62.7,61.4,61.94,6698,2,0
2025-04-04 16:00:00+00:00,61.93,62.49,61.31,61.65,6218,2,0
2025-04-04 17:00:00+00:00,61.65,61.75,60.56,61.37,5633,2,0
2025-04-04 18:00:00+00:00,61.37,63.29,61.35,61.8,10236,2,0
2025-04-04 19:00:00+00:00,61.81,62.27,61.6,62.01,5021,2,0
2025-04-04 20:00:00+00:00,62.01,62.25,61.67,62.21,3739,2,0
2025-04-04 21:00:00+00:00,62.21,62.51,62.02,62.42,3061,3,0
2025-04-04 22:00:00+00:00,62.42,63.01,62.35,62.8,1933,2,0
2025-04-04 23:00:00+00:00,62.79,62.83,62.32,62.4,839,3,0
2025-04-07 01:00:00+00:00,60.78,60.78,59.62,59.91,2937,2,0
2025-04-07 02:00:00+00:00,59.89,60.07,59.71,59.9,1061,2,0
